variant,variant_type,w_coverage,w_continuity,w_stability,w_plausibility,w_temporal_consistency,threshold_A,threshold_B,threshold_C,grade_exact_agreement,grade_adjacent_agreement,quadratic_weighted_kappa,score_spearman_vs_base,scenario_rank_spearman_vs_base,top_failure_same_as_base,bottom_failure_same_as_base,exact_failure_order_same_as_base,failure_order
base,base,0.35,0.2,0.2,0.1,0.15,85.0,75.0,60.0,1.0,1.0,1.0,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
coverage_weight_x0.75,one_weight_perturbed,0.2876712328767123,0.2191780821917808,0.2191780821917808,0.1095890410958904,0.1643835616438356,85.0,75.0,60.0,0.9026548672566372,1.0,0.9521831121369494,0.9997255306407612,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
coverage_weight_x1.25,one_weight_perturbed,0.4022988505747126,0.1839080459770115,0.1839080459770115,0.0919540229885057,0.1379310344827586,85.0,75.0,60.0,0.8495575221238938,1.0,0.9296826384567516,0.999650675360969,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
continuity_weight_x0.75,one_weight_perturbed,0.3684210526315789,0.1578947368421052,0.2105263157894737,0.1052631578947368,0.1578947368421052,85.0,75.0,60.0,0.8938053097345132,1.0,0.9498112369531424,0.997937321179054,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
continuity_weight_x1.25,one_weight_perturbed,0.3333333333333333,0.238095238095238,0.1904761904761904,0.0952380952380952,0.1428571428571428,85.0,75.0,60.0,0.9380530973451328,1.0,0.9699022107225752,0.9988355845365628,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
stability_weight_x0.75,one_weight_perturbed,0.3684210526315788,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.1578947368421052,85.0,75.0,60.0,0.8761061946902655,1.0,0.9415113871635612,0.9973717479539558,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
stability_weight_x1.25,one_weight_perturbed,0.3333333333333333,0.1904761904761904,0.238095238095238,0.0952380952380952,0.1428571428571428,85.0,75.0,60.0,0.9469026548672568,1.0,0.9740229885057472,0.9972137201410606,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
plausibility_weight_x0.75,one_weight_perturbed,0.358974358974359,0.2051282051282051,0.2051282051282051,0.0769230769230769,0.1538461538461538,85.0,75.0,60.0,0.991150442477876,1.0,0.9957149899510828,0.9999833654933796,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
plausibility_weight_x1.25,one_weight_perturbed,0.3414634146341463,0.1951219512195122,0.1951219512195122,0.1219512195121951,0.1463414634146341,85.0,75.0,60.0,0.9646017699115044,1.0,0.9827612509534708,0.999908510213587,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
temporal_weight_x0.75,one_weight_perturbed,0.3636363636363636,0.2077922077922078,0.2077922077922078,0.1038961038961039,0.1168831168831168,85.0,75.0,60.0,0.991150442477876,1.0,0.9956453042506456,0.9993595714951096,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
temporal_weight_x1.25,one_weight_perturbed,0.3373493975903614,0.1927710843373493,0.1927710843373493,0.0963855421686746,0.180722891566265,85.0,75.0,60.0,0.9823008849557522,1.0,0.9913707521954944,0.9996756271208996,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A-2_B-2_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,83.0,73.0,57.0,0.8141592920353983,1.0,0.9154221762839934,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A-2_B-2_C+0,threshold_grid,0.35,0.2,0.2,0.1,0.15,83.0,73.0,60.0,0.8407079646017699,1.0,0.9291042174973858,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A-2_B-2_C+3,threshold_grid,0.35,0.2,0.2,0.1,0.15,83.0,73.0,63.0,0.8053097345132744,1.0,0.9158258278594162,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
threshold_A-2_B+0_C-3,threshold_grid,0.35,0.2,0.2,0.1,0.15,83.0,75.0,57.0,0.8849557522123894,1.0,0.947417403443462,1.0,1.0,True,True,True,stuck_sensor > spike_noise > gaussian_noise > outage_block > time_shift > random_missing
