low_dynamic_window_label,low_dynamic_window_hours,low_variation_threshold_m,n_flagged,n_retained,mean_dqi_before,mean_dqi_after_screening,delta_mean_dqi,mean_dqi_flagged_points,grade_A_before,grade_A_after,grade_A_share_after,grade_B_before,grade_B_after,grade_B_share_after,grade_C_before,grade_C_after,grade_C_share_after,grade_D_before,grade_D_after,grade_D_share_after,dqi_coverage_score_before,dqi_coverage_score_after,dqi_coverage_score_delta,dqi_continuity_score_before,dqi_continuity_score_after,dqi_continuity_score_delta,dqi_stability_score_before,dqi_stability_score_after,dqi_stability_score_delta,dqi_plausibility_score_before,dqi_plausibility_score_after,dqi_plausibility_score_delta,dqi_temporal_consistency_score_before,dqi_temporal_consistency_score_after,dqi_temporal_consistency_score_delta
1 day,24.0,0.01,52,61,71.39946775683259,73.38165081287151,1.9821830560389202,69.0742145564792,19,13,0.21311475409836064,36,18,0.29508196721311475,33,20,0.32786885245901637,25,10,0.16393442622950818,91.35567592014385,90.21991831777332,-1.135757602370532,41.20421583087512,41.46622105126203,0.26200522038691076,52.1209675120681,63.75965988922469,11.638692377156595,97.59436330352877,99.9966325453714,2.4022692418426317,73.33672123893804,71.73226639344261,-1.6044548454954253
1 day,24.0,0.03,73,40,71.39946775683259,74.10323814536426,2.703770388531666,69.91794973571933,19,12,0.3,36,10,0.25,33,11,0.275,25,7,0.175,91.35567592014385,89.48400356713474,-1.8716723530091173,41.20421583087512,40.3249007936508,-0.8793150372243232,52.1209675120681,71.53727012483903,19.416302612770927,97.59436330352877,99.99486463169139,2.400501328162619,73.33672123893804,69.41277500000001,-3.9239462389380293
1 day,24.0,0.05,80,33,71.39946775683259,72.48389771189346,1.0844299550608696,70.95214040036997,19,10,0.30303030303030304,36,6,0.18181818181818182,33,10,0.30303030303030304,25,7,0.21212121212121213,91.35567592014385,88.22220100349747,-3.133474916646378,41.20421583087512,34.67261904761905,-6.53159678325607,52.1209675120681,74.43054487288443,22.309577360816327,97.59436330352877,99.99377531114106,2.3994120076122982,73.33672123893804,65.2407803030303,-8.095940935907734
1 week,168.0,0.01,25,88,71.39946775683259,73.42017824693018,2.020710490097585,64.28656683168906,19,16,0.18181818181818182,36,31,0.3522727272727273,33,26,0.29545454545454547,25,15,0.17045454545454544,91.35567592014385,91.58587375982479,0.23019783968094032,41.20421583087512,42.546277507215,1.3420616763398812,52.1209675120681,58.30462882057606,6.183661308507965,97.59436330352877,99.684229836151,2.0898665326222385,73.33672123893804,74.84345454545455,1.5067333065165087
1 week,168.0,0.03,35,78,71.39946775683259,73.11274252925539,1.7132747724227926,67.58131254971886,19,16,0.20512820512820512,36,23,0.2948717948717949,33,26,0.3333333333333333,25,13,0.16666666666666666,91.35567592014385,90.94886416535824,-0.4068117547856076,41.20421583087512,41.36427808302808,0.16006225215296155,52.1209675120681,60.242775092669106,8.121807580601008,97.59436330352877,99.99736647779045,2.403003174261684,73.33672123893804,73.06328525641028,-0.2734359825277579
1 week,168.0,0.05,46,67,71.39946775683259,73.32267088218842,1.9232031253558262,68.59828059598821,19,15,0.22388059701492538,36,19,0.2835820895522388,33,22,0.3283582089552239,25,11,0.16417910447761194,91.35567592014385,90.88480715305023,-0.47086876709362,41.20421583087512,39.205386756692725,-1.998829074182396,52.1209675120681,64.3324509553096,12.211483443241498,97.59436330352877,99.99693410847246,2.402570804943693,73.33672123893804,72.0381828358209,-1.298538403117135
1 month,720.0,0.01,6,107,71.39946775683259,72.1891107343915,0.7896429775589127,57.317501323698345,19,19,0.17757009345794392,36,35,0.32710280373831774,33,32,0.29906542056074764,25,21,0.19626168224299065,91.35567592014385,91.46596041499211,0.11028449484825842,41.20421583087512,42.364124388072995,1.1599085571978733,52.1209675120681,54.101729617,1.9807621049318982,97.59436330352877,97.45946778783879,-0.13489551568997626,73.33672123893804,74.24604672897198,0.909325490033936
1 month,720.0,0.03,6,107,71.39946775683259,72.1891107343915,0.7896429775589127,57.317501323698345,19,19,0.17757009345794392,36,35,0.32710280373831774,33,32,0.29906542056074764,25,21,0.19626168224299065,91.35567592014385,91.46596041499211,0.11028449484825842,41.20421583087512,42.364124388072995,1.1599085571978733,52.1209675120681,54.101729617,1.9807621049318982,97.59436330352877,97.45946778783879,-0.13489551568997626,73.33672123893804,74.24604672897198,0.909325490033936
1 month,720.0,0.05,6,107,71.39946775683259,72.1891107343915,0.7896429775589127,57.317501323698345,19,19,0.17757009345794392,36,35,0.32710280373831774,33,32,0.29906542056074764,25,21,0.19626168224299065,91.35567592014385,91.46596041499211,0.11028449484825842,41.20421583087512,42.364124388072995,1.1599085571978733,52.1209675120681,54.101729617,1.9807621049318982,97.59436330352877,97.45946778783879,-0.13489551568997626,73.33672123893804,74.24604672897198,0.909325490033936
1 quarter,2160.0,0.01,1,112,71.39946775683259,71.32725625299919,-0.07221150383340103,79.48715618617314,19,19,0.16964285714285715,36,35,0.3125,33,33,0.29464285714285715,25,25,0.22321428571428573,91.35567592014385,91.30483215613312,-0.05084376401073598,41.20421583087512,41.02248972505669,-0.1817261058184343,52.1209675120681,52.147241278765414,0.026273766697315182,97.59436330352877,97.57288440445313,-0.02147889907563183,73.33672123893804,73.19553571428573,-0.1411855246523146
