sensor_public_id,low_dynamic_window_label,low_dynamic_window_hours,low_variation_threshold_m,valid_rolling_window_count,min_rolling_range_m,low_variation_window_fraction,flagged_low_variation
S0037,1 day,24.0,0.01,102227,0.0,0.042209983663807016,True
S0037,1 day,24.0,0.03,102227,0.0,0.054310505052481244,True
S0037,1 day,24.0,0.05,102227,0.0,0.06553063280737965,True
S0087,1 day,24.0,0.01,101444,0.016199827194213867,0.0,False
S0087,1 day,24.0,0.03,101444,0.016199827194213867,0.012844525058160167,True
S0087,1 day,24.0,0.05,101444,0.016199827194213867,0.08080320176649186,True
S0091,1 day,24.0,0.01,100833,0.0,0.009143831880435969,True
S0091,1 day,24.0,0.03,100833,0.0,0.07043329068856426,True
S0091,1 day,24.0,0.05,100833,0.0,0.0765820713456904,True
S0047,1 day,24.0,0.01,101377,0.0,0.011541079337522318,True
S0047,1 day,24.0,0.03,101377,0.0,0.012488039693421585,True
S0047,1 day,24.0,0.05,101377,0.0,0.02388115647533464,True
S0045,1 day,24.0,0.01,101648,0.01399993896484375,0.0,False
S0045,1 day,24.0,0.03,101648,0.01399993896484375,0.0018987092712104518,True
S0045,1 day,24.0,0.05,101648,0.01399993896484375,0.10447819927593263,True
S0049,1 day,24.0,0.01,36502,0.013999998569488525,0.0,False
S0049,1 day,24.0,0.03,36502,0.013999998569488525,0.0711193907183168,True
S0049,1 day,24.0,0.05,36502,0.013999998569488525,0.46222124815078625,True
S0022,1 day,24.0,0.01,102008,0.0,0.12233354246725747,True
S0022,1 day,24.0,0.03,102008,0.0,0.155046663006823,True
S0022,1 day,24.0,0.05,102008,0.0,0.17319229864324368,True
S0095,1 day,24.0,0.01,91948,0.11440002918243408,0.0,False
S0095,1 day,24.0,0.03,91948,0.11440002918243408,0.0,False
S0095,1 day,24.0,0.05,91948,0.11440002918243408,0.0,False
S0041,1 day,24.0,0.01,91042,0.2645999789237976,0.0,False
S0041,1 day,24.0,0.03,91042,0.2645999789237976,0.0,False
S0041,1 day,24.0,0.05,91042,0.2645999789237976,0.0,False
S0042,1 day,24.0,0.01,90727,0.09879997372627258,0.0,False
S0042,1 day,24.0,0.03,90727,0.09879997372627258,0.0,False
S0042,1 day,24.0,0.05,90727,0.09879997372627258,0.0,False
S0068,1 day,24.0,0.01,73118,0.06700000166893005,0.0,False
S0068,1 day,24.0,0.03,73118,0.06700000166893005,0.0,False
S0068,1 day,24.0,0.05,73118,0.06700000166893005,0.0,False
S0043,1 day,24.0,0.01,91135,0.08259999752044678,0.0,False
S0043,1 day,24.0,0.03,91135,0.08259999752044678,0.0,False
S0043,1 day,24.0,0.05,91135,0.08259999752044678,0.0,False
S0026,1 day,24.0,0.01,101409,0.10379999876022339,0.0,False
S0026,1 day,24.0,0.03,101409,0.10379999876022339,0.0,False
S0026,1 day,24.0,0.05,101409,0.10379999876022339,0.0,False
S0036,1 day,24.0,0.01,102864,0.0,0.18620703064240163,True
S0036,1 day,24.0,0.03,102864,0.0,0.1929343599315601,True
S0036,1 day,24.0,0.05,102864,0.0,0.20174210608181678,True
S0109,1 day,24.0,0.01,99327,0.03300023078918457,0.0,False
S0109,1 day,24.0,0.03,99327,0.03300023078918457,0.0,False
S0109,1 day,24.0,0.05,99327,0.03300023078918457,0.0003121004359338347,True
S0006,1 day,24.0,0.01,98843,0.0,0.008933358963204274,True
S0006,1 day,24.0,0.03,98843,0.0,0.09313760205578543,True
S0006,1 day,24.0,0.05,98843,0.0,0.49374260190402963,True
