scenario,level,level_label,level_unit,seed,model,horizon,n_sensors,mean_delta_sensor_rmse_m,median_delta_sensor_rmse_m,bootstrap_mean_delta_ci95_low_m,bootstrap_mean_delta_ci95_high_m,paired_cohen_dz,proportion_sensors_worse,sign_test_p,sign_test_p_bh,family,scenario_label,label
gaussian_noise,0.1,0.1,sigma_frac_iqr,202601,graph_temporal_ridge_strict,30min,113,0.0751090182838302,0.034758199006319,0.0585352457606746,0.0950310099388078,0.7725553052492432,0.991150442477876,2.195560136601449e-32,5.269344327843478e-32,Ridge,Gaussian noise,"Ridge: Gaussian noise, 0.1"
gaussian_noise,0.1,0.1,sigma_frac_iqr,202601,ridge_local_residual_strict,30min,113,0.0761456211557018,0.0364933088421821,0.0559285141209828,0.094905553224514,0.7755730268695559,0.991150442477876,2.195560136601449e-32,5.269344327843478e-32,Ridge,Gaussian noise,"Ridge: Gaussian noise, 0.1"
outage_block,168.0,168h,block_hours,202601,graph_temporal_ridge_strict,30min,113,0.0804141673663284,0.0395689215511083,0.0620942966046174,0.1026251278551855,0.7138271827300721,0.9203539823008848,2.5177481866260118e-27,4.316139748501735e-27,Ridge,Outage block,"Ridge: Outage block, 168h"
outage_block,168.0,168h,block_hours,202601,ridge_local_residual_strict,30min,113,0.0811656386204129,0.0395411252975463,0.0629019181631439,0.1006326735852104,0.7168769216791926,0.9203539823008848,1.3982559545042432e-28,2.4857883635630988e-28,Ridge,Outage block,"Ridge: Outage block, 168h"
spike_noise,0.005,0.005,spike_rate,202603,last_value,30min,113,0.0917809293677502,0.0496913939714431,0.0682568889569215,0.1176576651457647,0.7117583836955971,0.991150442477876,3.8518598887744726e-34,2.363641295384335e-33,Fast,Spike noise,"Fast: Spike noise, 0.005"
outage_block,168.0,168h,block_hours,202602,last_value,30min,113,0.0998808952301856,0.0754792802035808,0.0815077265938053,0.1198804661722243,0.9557068497839214,0.911504424778761,6.612717750057298e-26,1.168860093299817e-25,Fast,Outage block,"Fast: Outage block, 168h"
stuck_sensor,0.1,0.1,sensor_fraction,202603,last_value,30min,113,0.1074897184869093,0.0,0.0507829901651042,0.1883330953138492,0.2875584244510007,0.0884955752212389,0.01171875,0.0124446902654867,Fast,Stuck sensor,"Fast: Stuck sensor, 0.1"
spike_noise,0.005,0.005,spike_rate,202601,graph_temporal_ridge_strict,30min,113,0.1144447482749407,0.0598988831043243,0.0879313344127896,0.1443877643864113,0.8241198965126142,0.991150442477876,3.8518598887744726e-34,1.6808115878288606e-33,Ridge,Spike noise,"Ridge: Spike noise, 0.005"
spike_noise,0.005,0.005,spike_rate,202601,ridge_local_residual_strict,30min,113,0.1166869118238955,0.0634978972375392,0.0924558914519961,0.1411069735814611,0.8243925328655005,0.991150442477876,3.8518598887744726e-34,1.6808115878288606e-33,Ridge,Spike noise,"Ridge: Spike noise, 0.005"
stuck_sensor,0.2,0.2,sensor_fraction,202602,last_value,30min,113,0.1406438288369537,0.0,0.0740019091611019,0.2159991578800619,0.3837037277769182,0.1946902654867256,5.7220458984375e-06,6.920279474034154e-06,Fast,Stuck sensor,"Fast: Stuck sensor, 0.2"
gaussian_noise,0.2,0.2,sigma_frac_iqr,202602,last_value,30min,113,0.1420763862943606,0.0829615220427513,0.1115742468725595,0.1783364474221206,0.7369637856666841,0.9823008849557522,1.2406840701742572e-30,3.1306981210004624e-30,Fast,Gaussian noise,"Fast: Gaussian noise, 0.2"
gaussian_noise,0.2,0.2,sigma_frac_iqr,202603,last_value,30min,113,0.1426337426847704,0.0834828838706016,0.1085717531372339,0.1770894907333783,0.7208051912702473,0.9823008849557522,1.2406840701742572e-30,3.1306981210004624e-30,Fast,Gaussian noise,"Fast: Gaussian noise, 0.2"
spike_noise,0.01,0.01,spike_rate,202601,last_value,30min,113,0.1429860558746118,0.0820383206009864,0.111218087148592,0.1770245872771746,0.8118669322306148,0.991150442477876,3.8518598887744726e-34,2.363641295384335e-33,Fast,Spike noise,"Fast: Spike noise, 0.01"
spike_noise,0.01,0.01,spike_rate,202602,last_value,30min,113,0.1445208185886041,0.0810745358467102,0.1119856444329375,0.1811803208417063,0.7711491804619526,0.991150442477876,3.8518598887744726e-34,2.363641295384335e-33,Fast,Spike noise,"Fast: Spike noise, 0.01"
spike_noise,0.01,0.01,spike_rate,202603,last_value,30min,113,0.1491389288433077,0.0810108259320259,0.1102293366133606,0.1918670092863638,0.6708810529497208,0.991150442477876,3.8518598887744726e-34,2.363641295384335e-33,Fast,Spike noise,"Fast: Spike noise, 0.01"
gaussian_noise,0.2,0.2,sigma_frac_iqr,202601,last_value,30min,113,0.1537270599314778,0.085548423230648,0.118022447409272,0.1939074237173653,0.7382998653543842,1.0,1.9259299443872363e-34,2.363641295384335e-33,Fast,Gaussian noise,"Fast: Gaussian noise, 0.2"
spike_noise,0.01,0.01,spike_rate,202601,graph_temporal_ridge_strict,30min,113,0.1794377180399472,0.1017291769385337,0.1471501620402158,0.2153396828390866,0.8372698871036036,0.991150442477876,3.8518598887744726e-34,1.6808115878288606e-33,Ridge,Spike noise,"Ridge: Spike noise, 0.01"
spike_noise,0.01,0.01,spike_rate,202601,ridge_local_residual_strict,30min,113,0.1827761448777602,0.1077636778354644,0.1444188164839927,0.2213450237167267,0.8383121038390268,0.991150442477876,3.8518598887744726e-34,1.6808115878288606e-33,Ridge,Spike noise,"Ridge: Spike noise, 0.01"
stuck_sensor,0.2,0.2,sensor_fraction,202603,last_value,30min,113,0.1866286902356711,0.0,0.1056849837854074,0.2724362074470135,0.3918490639537526,0.1946902654867256,5.7220458984375e-06,6.920279474034154e-06,Fast,Stuck sensor,"Fast: Stuck sensor, 0.2"
gaussian_noise,0.2,0.2,sigma_frac_iqr,202601,graph_temporal_ridge_strict,30min,113,0.1868803859018696,0.1030473299324512,0.1499836453623488,0.228958279600334,0.8063337416269586,0.991150442477876,2.195560136601449e-32,5.269344327843478e-32,Ridge,Gaussian noise,"Ridge: Gaussian noise, 0.2"
gaussian_noise,0.2,0.2,sigma_frac_iqr,202601,ridge_local_residual_strict,30min,113,0.1891890547013701,0.1059011369943618,0.1510372124836662,0.2346285340729307,0.8087755433678266,0.991150442477876,2.195560136601449e-32,5.269344327843478e-32,Ridge,Gaussian noise,"Ridge: Gaussian noise, 0.2"
stuck_sensor,0.2,0.2,sensor_fraction,202601,graph_temporal_ridge_strict,30min,113,0.2585732442506103,0.0,0.115529592741802,0.4581715179111215,0.2700967963452554,0.4070796460176991,1.0325821975243345e-08,1.2088767190528792e-08,Ridge,Stuck sensor,"Ridge: Stuck sensor, 0.2"
stuck_sensor,0.2,0.2,sensor_fraction,202601,ridge_local_residual_strict,30min,113,0.2588770685179686,0.0,0.1276221388223863,0.4396339646587714,0.2702337678828074,0.2035398230088495,2.384185791015625e-07,2.6614166969476744e-07,Ridge,Stuck sensor,"Ridge: Stuck sensor, 0.2"
